actor,awards,country,director,genre,language,metascore,plot,poster,rated,released,response,runtime,title,type,writer,year,imdb_id,imdb_votes,rating_imdb,rating_rotten,rating_metacritic
"Marion Cotillard, Marc-André Grondin, Philippe Katerine, Jean Rochefort",1 win & 7 nominations.,"France, Canada, Belgium","Christian Desmares, Franck Ekinci","Animation, Adventure, Comedy, Drama, Family, Mystery, Sci-Fi, Thriller",French,85,"It's 1941 but France is trapped in the nineteenth century, governed by steam and Napoleon V, where scientists vanish mysteriously. Avril (Marion Cotillard), a teenage girl, goes in search of her missing scientist parents.",https://m.media-amazon.com/images/M/MV5BZTg1ZWIxODItY2ZjMC00MzMzLTgwMDctNTlmY2YzNjM3NzhmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG,08 Apr 2016,True,105 min,April and the Extraordinary World,movie,"Franck Ekinci (screenplay by), Benjamin Legrand (screenplay by), Benjamin Legrand (based on an original idea by), Jacques Tardi (original graphic creation), Mark Camacho (adaptation), Pauline Little (adaptation)",2015,tt3422078,"6,643",7.3/10,96%,85/100
"Earl Jackson, Ah-ron Kim, Sae-ron Kim, Cheon-hee Lee",1 win & 1 nomination.,South Korea,Sang-woo Lee,Drama,Korean,N/A,"Soon-Young (Kim Sae-Ron) is a young girl who is the head of her family. She lives with her mentally handicapped father (Jo Yong-Suk), unscrupulous uncle (Lee Chun-Hee) and younger sister ...",https://m.media-amazon.com/images/M/MV5BYmRhMTRmM2QtMzRlNC00MzJjLTljMzYtNmY0MzMzZmZlMmE0XkEyXkFqcGdeQXVyMjAzMjcxNTE@._V1_SX300.jpg,R,25 Oct 2012,True,97 min,Barbie,movie,Sang-woo Lee,2011,tt2074334,231,6.7/10,,
"Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Peter Mel",4 nominations.,USA,Adam Wood,"Animation, Family, Fantasy",English,N/A,"Barbie stars as Merliah, a surfer who learns a shocking secret: she's a mermaid! She and her dolphin friend set out for an undersea adventure to rescue her mother, the queen of Oceana.",https://m.media-amazon.com/images/M/MV5BY2RmY2JjYTMtM2MzOC00ZTE5LWE3ZjktNWE3NzdkNWZmOTc4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,TV-Y,09 Mar 2010,True,75 min,Barbie in a Mermaid Tale,movie,"Elise Allen (screenplay), Ruth Handler (based on: the Barbie characters created by)",2010,tt1610301,"1,914",6.2/10,62%,
"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain",1 win & 2 nominations.,USA,Ezekiel Norton,"Animation, Family, Fantasy",English,N/A,"When a magical butterfly kisses the kind princess, Kara, the crime-fighting hero, Super Sparkle, emerges. Now, along with her strong cousin, they must deal with the Baron, the kingdom's real enemy. Will the super-girls teach him a lesson?",https://m.media-amazon.com/images/M/MV5BNWJkYTk0ZWYtZTA2OS00MzYwLTkyMzktMTlhOWMyZDdiNTBkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,TV-Y,03 Mar 2015,True,73 min,Barbie in Princess Power,movie,Marsha F. Griffin,2015,tt4215332,695,5.5/10,69%,
"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton",N/A,USA,"Michael Goguen, Karen J. Lloyd","Animation, Family",English,N/A,"Get ready to rock! In this upbeat musical, Barbie stars as Courtney, a princess whose world is turned upside down when she switches places with Erika, a famous rockstar.",https://m.media-amazon.com/images/M/MV5BNjhjYWZlNDctZGE3MS00NDYzLThmNDctZDc1ZGRkY2FlZWU1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Not Rated,01 Sep 2015,True,80 min,Barbie in Rock 'N Royals,movie,Marsha F. Griffin,2015,tt4955162,669,6.1/10,46%,
"Erica Lindbeck, Robbie Daymond, Kimberly Woods, Sarah Anne Williams",N/A,USA,"Andrew Tan, Michael Goguen","Animation, Family, Sci-Fi",English,N/A,"Barbie, a space Princess, sees her world rapidly change when the stars in the sky begin to fade away. On her fascinating voyage to a new planet, she joins forces with a special rescue team. Is cosmic Barbie the hero the universe needs?",https://m.media-amazon.com/images/M/MV5BYzU5MTQ0ODctMTc0OS00ZGY2LWI1MzctODVlYzBlNGY4ZGEwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Not Rated,13 Sep 2016,True,79 min,Barbie: Star Light Adventure,movie,"Kacey Arnold, Kate Boutilier (additional writing by)",2016,tt5502946,571,5.9/10,40%,
"Diana Kaarina, Adrian Petriw, Britt Irvin, Cassandra Lee Morris",2 nominations.,USA,William Lau,"Animation, Family, Fantasy",English,N/A,"To save Ken from the love-smitten passion-fairy, Princess Graciella, Barbie, her stylish fairy-friends, and her co-star travel to the glamorous fairy-city of Gloss Angeles. Is the power of friendship greater than magic?",https://m.media-amazon.com/images/M/MV5BOTU2Yzk1OWYtNDRmNy00MWM1LTkwNDEtMzU3ZGQzMWQ5NTZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,TV-Y,15 Mar 2011,True,72 min,Barbie: A Fairy Secret,movie,Elise Allen,2011,tt1800254,"1,309",5.7/10,73%,
"Diana Kaarina, Morwenna Banks, Nicole Oliver, Brittney Wilson",N/A,"USA, Canada",Ezekiel Norton,"Animation, Family, Fantasy",English,N/A,"Barbie stars as Blair, a kind-hearted girl who is chosen to attend Princess Charm School. In this magical place, she makes new friends and discovers that there's a princess in every girl!",https://m.media-amazon.com/images/M/MV5BYjEyZjYzMGUtY2U3Yi00YzE2LThkZGItNWJlNDNlZDhhMGJmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,TV-Y,13 Sep 2011,True,81 min,Barbie: Princess Charm School,movie,"Elise Allen, Kati Rocky (story by)",2011,tt2066832,"1,832",6.4/10,74%,
"Erica Lindbeck, Stephanie Sheh, Jenny Pellicer, Alyssya Swales",N/A,"USA, Canada","Michael Goguen, Conrad Helten","Animation, Family",N/A,N/A,Barbie and her athletic best friends slip into their smart outfits when a secret intelligence agency wants to use their special skills to stop a series of gem robberies. Will the Spy Squad succeed in this difficult cat-and-mouse game?,https://m.media-amazon.com/images/M/MV5BOTI3NTY3NDgtNGVmMC00NjY2LTgxZjgtMjI2Nzk4NDc1NWNiXkEyXkFqcGdeQXVyNDgxMDU4NTU@._V1_SX300.jpg,TV-Y7,01 Mar 2016,True,75 min,Barbie: Spy Squad,movie,"Marsha F. Griffin, Kacey Arnold",2016,tt5042436,662,5.7/10,50%,
"Kelly Sheridan, Jennifer Waris, Ashleigh Ball, Tiffany Kathryn",N/A,USA,Ezekiel Norton,"Animation, Family, Musical",English,N/A,"When the gracious young Princess, Tori, trades places with her favourite singer, Keira, the girls will have to work together to save the realm of Meribella. Will the Princess and the Pop Star learn to appreciate the power of uniqueness?",https://m.media-amazon.com/images/M/MV5BNDRmMWU2ZjMtM2NlMy00OThkLTgwNDgtYTFkOGZmMGY2MzZmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,TV-Y,11 Sep 2012,True,86 min,Barbie: The Princess & the Popstar,movie,"Steve Granat, Cydne Clark, Ruth Handler (based on: the Barbie characters created by)",2012,tt2396690,"1,495",5.7/10,,
"Erica Lindbeck, Sienna Bohn, Shannon Chan-Kent, Michael Dobson",3 nominations.,USA,"Conrad Helten, Ezekiel Norton, Michael Goguen",Animation,English,N/A,Join Barbie as she enters three different video games! Will she be able to save the lands?,https://m.media-amazon.com/images/M/MV5BNWRiZTliYjAtYjQ5ZC00YWM5LTg2Y2UtOTNhMjdiY2U5OGRlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Not Rated,17 Jan 2017,True,72 min,Barbie Video Game Hero,movie,"Nina G. Bargiel, Jennifer Skelly (additional writing by), Ruth Handler (based on: the Barbie characters created by)",2017,tt6185658,358,5.1/10,33%,
"Matt Hill, Sabrina Pitre, Adrian Petriw, Zach LeBlanc",N/A,Japan,N/A,"Animation, Action",English,N/A,"Elementary-school student Valt Aoi is crazy about Beyblade and is best friends with Shu Kurenai, who is a prodigy at the game and has been named to the national Beyblade tournament's final ...",https://m.media-amazon.com/images/M/MV5BMDgwMDg1NWItMzljNC00NGRkLWI1ODctMGEwYjExYzE3ODllL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjMyNTYyNTY@._V1_SX300.jpg,TV-Y7,19 Dec 2016,True,24 min,Beyblade Burst,series,N/A,2016–,tt6348126,204,6.5/10,,
"Vinicius Garcia, Felipe Zilse, Alê Abreu, Lu Horta",Nominated for 1 Oscar. Another 16 wins & 11 nominations.,Brazil,Alê Abreu,"Animation, Adventure, Family",Portuguese,80,A little boy goes on an adventurous quest in search of his father.,https://m.media-amazon.com/images/M/MV5BMTY4MTAwODg1NF5BMl5BanBnXkFtZTgwMTUyMDQyNzE@._V1_SX300.jpg,PG,17 Jan 2014,True,80 min,The Boy and the World,movie,Alê Abreu,2013,tt3183630,"6,186",7.6/10,93%,80/100
"Dallas Campbell, Hannah Fry, Joachim Schwarzenberg",N/A,UK,N/A,Documentary,English,N/A,"Every day 100,000 flights criss-cross the globe with more than 1 million people in the air at any one time. Dallas Campbell and Dr Hannah Fry explore the world of aviation.",https://m.media-amazon.com/images/M/MV5BZTE5Y2IzMTItZGE3NC00ZTA5LWI0ZDItY2E4MGE0MmFiYjgyXkEyXkFqcGdeQXVyMzQ0NDE2NDU@._V1_SX300.jpg,TV-PG,08 Feb 2017,True,N/A,City in the Sky,series,N/A,2016–,tt5820022,199,8.0/10,,
Michael Mosley,N/A,UK,N/A,N/A,English,N/A,"Dr. Michael Mosley and botanist James Wong celebrate the physics, chemistry, and biology hidden inside every bite of your next meal. Learn how the hidden chemistry of food keeps our bodies ...",N/A,TV-PG,17 May 2017,True,N/A,Food - Delicious Science,series,N/A,2017,tt8542634,6,7.2/10,,
N/A,N/A,"Morocco, France",Ibtissem Guerda,"Short, Comedy",French,N/A,"Instead of going to school, Brahim roams about the streets of his neighborhood...",N/A,N/A,N/A,True,18 min,For Your Own Good,movie,Ibtissem Guerda,2013,tt3682208,N/A,,,
"Marina Abramovic, Azzedine Alaïa, Naomi Campbell, Francesco Carrozzini",1 win & 1 nomination.,"USA, Italy",Francesco Carrozzini,"Documentary, Biography","Italian, English, French",N/A,"An intimate portrait of Franca Sozzani, the legendary editor-in-chief of Italian Vogue.",https://m.media-amazon.com/images/M/MV5BNDM1MDA3ODAtYWI5Mi00OThlLWI4OTQtYWY1MTZjMWI4MWUxXkEyXkFqcGdeQXVyMTQzOTczNTM@._V1_SX300.jpg,Not Rated,23 Sep 2017,True,80 min,Franca: Chaos and Creation,movie,N/A,2016,tt5317286,511,7.6/10,,
"Greta Gerwig, Mickey Sumner, Michael Esper, Adam Driver",Nominated for 1 Golden Globe. Another 1 win & 48 nominations.,USA,Noah Baumbach,"Comedy, Drama, Romance","English, French",82,"A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",https://m.media-amazon.com/images/M/MV5BOTY0NDQ2NzQ2N15BMl5BanBnXkFtZTcwMTU0OTkwOQ@@._V1_SX300.jpg,R,20 Jun 2013,True,86 min,Frances Ha,movie,"Noah Baumbach, Greta Gerwig",2012,tt2347569,"72,100",7.5/10,92%,82/100
"Arnold Schwarzenegger, Martyn Ford, Calum Von Moger, Kai Greene",N/A,USA,Vlad Yudin,Documentary,English,N/A,Filmmaker Vlad Yudin follows several body builders as they struggle to find success in a competitive industry.,https://m.media-amazon.com/images/M/MV5BZWQ2ZWI0MDUtNmQ0NC00YjJjLTlkMWMtODg5YzgxYjAyYjc5XkEyXkFqcGdeQXVyNDMxNTQ3MTk@._V1_SX300.jpg,PG-13,12 May 2017,True,106 min,Generation Iron 2,movie,"Michael Kupisk (additional writing), Vlad Yudin",2017,tt6263642,"2,227",6.1/10,48%,
"Lili Beaudoin, Travis Turner, Kathleen Barr, Scott McNeil",1 nomination.,Canada,Karen J. Lloyd,"Animation, Adventure",English,N/A,"Gabi and Spence, and the Spooky Dog, are the ""Ghost Patrol"", Their Towns supernatural pest control, but they have never seen a real ghost. When they get a call to investigate the old Geist ...",https://m.media-amazon.com/images/M/MV5BMjVkYWUwYWUtM2MwNS00OGVlLWJmMjUtYzU0NGI3ZDMzZTI4XkEyXkFqcGdeQXVyNDM2MjM2NDU@._V1_SX300.jpg,N/A,09 Oct 2016,True,47 min,Ghost Patrol,movie,"Marcy Brown, Dennis Haley, Alison Ross (concept)",2016,tt6111628,168,4.8/10,,
Kirk Johnson,N/A,UK,N/A,Documentary,English,N/A,"As Winter turns to Spring in Yellowstone, many animals come out from hibernation.",https://m.media-amazon.com/images/M/MV5BY2M3ZDcyZDYtNzliYy00ZWUyLTg5NTMtZDFjOWQ2MGU2N2FlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,TV-PG,21 Jun 2017,True,N/A,Great Yellowstone Thaw,series,N/A,2017,tt6986448,43,7.9/10,,
"Usain Bolt, Nugent Walker Jr., Ricky Simms, Glen Mills",1 win & 2 nominations.,UK,"Benjamin Turner, Gabe Turner","Documentary, Biography, Sport",English,64,"The legacy of the fastest man in history, Usain Bolt.",https://m.media-amazon.com/images/M/MV5BNDhiNDEwYTQtNzY5MC00YWIwLWI5YjgtYzUxYTViMTFlNjdhXkEyXkFqcGdeQXVyMTE2ODA5Nzk@._V1_SX300.jpg,PG,28 Nov 2016,True,107 min,I Am Bolt,movie,N/A,2016,tt4647900,"3,076",7.1/10,85%,64/100
"Zahn McClarnon, Michael Madsen, Martin Kove, Stephen Baldwin",N/A,USA,Steve Race,"Crime, Drama, Romance",English,23,"Miles Montego (Ja Rule) has it all - cars, boats, good looks, mansion, money, women, but more importantly, he has a past. Miles is a retired high level drug trafficker who is now completely...",https://m.media-amazon.com/images/M/MV5BMTU3MjA1MjY1NV5BMl5BanBnXkFtZTcwOTMxOTg3OQ@@._V1_SX300.jpg,PG,06 Dec 2013,True,118 min,I'm in Love with a Church Girl,movie,Galley Molina,2013,tt1618432,"1,734",4.4/10,11%,23/100
"Jay Baruchel, Chris Chelios, Sasha Lakovic, Howard Bloom",6 nominations.,"Canada, Ireland, USA",Brett Harvey,"Documentary, Sport",English,N/A,"On-ice enforcers struggle to rise through the professional ranks of the world's most prestigious hockey league, only to be confronted with a new found fight for the existence of the role itself.",https://m.media-amazon.com/images/M/MV5BMjM5MDQyODAyNF5BMl5BanBnXkFtZTgwMDgzNjA4OTE@._V1_SX300.jpg,N/A,12 Sep 2016,True,108 min,Ice Guardians,movie,"Scott Dodds, Brett Harvey",2016,tt4431208,"1,264",7.5/10,100%,
"Liam Neeson, Salma Hayek, John Krasinski, Frank Langella",1 win & 10 nominations.,"Qatar, France, Lebanon, Canada, USA","Roger Allers, Gaëtan Brizzi, Paul Brizzi, Joan C. Gratz, Mohammed Saeed Harib, Tomm Moore, Nina Paley, Bill Plympton, Joann Sfar, Michal Socha","Animation, Drama",English,61,Exiled artist and poet Mustafa embarks on a journey home with his housekeeper and her daughter; together the trio must evade the authorities who fear that the truth in Mustafa's words will incite rebellion.,https://m.media-amazon.com/images/M/MV5BMTY5NzI4MjE2OV5BMl5BanBnXkFtZTgwMDg3OTU5NTE@._V1_SX300.jpg,PG,07 Aug 2015,True,85 min,Kahlil Gibran's The Prophet,movie,"Roger Allers (screenplay by), Kahlil Gibran (based on the novel by), Hanna Weg (additional writing), Irene Mecchi (additional dialogue), Douglas Wood (additional dialogue)",2014,tt1640718,"4,157",7.1/10,65%,61/100
"Erica Lindbeck, Anne Watanabe, Richard Epcar, Yutaka Matsushige",5 wins & 7 nominations.,Japan,"Keiichi Hara, Stephanie Sheh, Michael Sinterniklaas","Animation, Biography, Drama, History",Japanese,74,"The life and works of Japanese artist and ukiyo-e painter Katsushika Hokusai, as seen from the eyes of his daughter, Katsushika O-Ei.",https://m.media-amazon.com/images/M/MV5BMjM4MjkyMjY2NV5BMl5BanBnXkFtZTgwNDI2OTQ4OTE@._V1_SX300.jpg,PG-13,09 May 2015,True,93 min,Miss Hokusai,movie,"Hinako Sugiura (comic ""Sarusuberi""), Miho Maruo (screenplay), Stephanie Sheh (english adaptation)",2015,tt3689910,"2,864",6.7/10,93%,74/100
"Larissa Gallagher, Kate Higgins, Debi Derryberry, Salli Saffioti",N/A,USA,"William Lau, Jun Falkenstein","Animation, Fantasy",English,N/A,"During a party at Monster High, a strange force pulls Lagoona Blue, Frankie Stein, Draculaura, Clawdeen Wolf, Toralei Stripe, and Gillington ""Gil"" Webber to the Great Scarrier Reef. It is ...",https://m.media-amazon.com/images/M/MV5BMGNkZDJjNzMtMDExYi00Y2ZhLWFkMGItMmQ3YWZhMTU4M2Q2XkEyXkFqcGdeQXVyNjU1MDg3NDE@._V1_SX300.jpg,Not Rated,12 Feb 2016,True,71 min,Monster High: Great Scarrier Reef,movie,"Nina G. Bargiel, Shane Amsterdam, M.J. Offen (developer)",2016,tt5475710,305,6.2/10,70%,
"Kate Higgins, Salli Saffioti, Debi Derryberry, Laura Bailey",2 nominations.,USA,"Audu Paden, Eric Radomski","Animation, Short, Fantasy",English,N/A,Frankie Stein begins at Monster High and follows her all new body and life the first week of high school.,https://m.media-amazon.com/images/M/MV5BODkzMjExNzEyNl5BMl5BanBnXkFtZTgwODA3MTI1MjE@._V1_SX300.jpg,TV-Y7,31 Oct 2010,True,23 min,Monster High: New Ghoul at School,movie,"Anne D. Bernstein, Audu Paden, Lauren Rose, Ira Singerman",2010,tt1789846,437,6.8/10,,
"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz",Nominated for 1 Oscar. Another 23 wins & 22 nominations.,"Switzerland, France",Claude Barras,"Animation, Comedy, Drama, Family","French, English",85,"After losing his mother, a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love.",https://m.media-amazon.com/images/M/MV5BMGZhZTMxNWItZDU1Yi00NmM4LTk3NzktZGU5Nzk0ZjdlZjQ4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG-13,24 Feb 2017,True,70 min,My Life as a Zucchini,movie,"Céline Sciamma (screenplay writer), Germano Zullo (contributing writer), Claude Barras (contributing writer), Morgan Navarro (contributing writer), Gilles Paris (novel), Michael Sinterniklaas (english script adaptation), Christian La Monte (english script adaptation)",2016,tt2321405,"20,860",7.8/10,99%,85/100
"Edouard Baer, Jean-Pierre Marielle, Audrey Tautou, Jackie Berroyer",3 nominations.,"France, Belgium","Jean-Loup Felicioli, Alain Gagnol","Animation, Action, Adventure, Family, Fantasy, Sci-Fi",French,66,A super-powered boy helps a wheelchair-bound policeman in his attempt to bring down a mob kingpin.,https://m.media-amazon.com/images/M/MV5BMTU0NzI0MzUyMV5BMl5BanBnXkFtZTgwMzc4MzkwOTE@._V1_SX300.jpg,PG,15 Jul 2016,True,84 min,Phantom Boy,movie,Alain Gagnol,2015,tt1856057,"1,370",6.6/10,88%,66/100
"Kyle Breitkopf, Addison Holley, Juan Luis Bonilla, Brianna Daguanno",2 wins & 6 nominations.,"France, UK",N/A,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi","French, English, Spanish",N/A,"Three children become superheroes at night. During the school day a problem arises, and during the night the culprit is found by the PJ Masks and the problem gets solved by sharing ideas, ...",https://m.media-amazon.com/images/M/MV5BNDdiYzk4MTMtYjBiMC00MDFjLTgzYzktNzhjNGUyZDMyZmU5XkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_SX300.jpg,TV-Y,18 Sep 2015,True,24 min,PJ Masks,series,N/A,2015–,tt4148744,808,5.6/10,,
"Clint Eastwood, Sondra Locke, Pat Hingle, Bradford Dillman",1 nomination.,USA,Clint Eastwood,"Action, Crime, Thriller",English,52,"A rape victim is exacting revenge on her aggressors in a small town outside San Francisco. ""Dirty"" Harry Callahan, on suspension for angering his superiors (again), is assigned to the case.",https://m.media-amazon.com/images/M/MV5BYTA2NzY5ZTgtNTY3Ni00YTc3LWFhN2ItY2Q4NzljYTRkZTIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,R,09 Dec 1983,True,117 min,Sudden Impact,movie,"Harry Julian Fink (characters), Rita M. Fink (characters), Joseph Stinson (screenplay), Earl E. Smith (story), Charles B. Pierce (story)",1983,tt0086383,"40,138",6.7/10,56%,52/100
"Dan Spielman, Ashley Zukerman, Adele Perovic, Michael Denkha",9 wins & 9 nominations.,Australia,N/A,"Drama, Thriller",English,N/A,Two Canberra based brothers become entangled in a cover up that involves a remote outback community and key members of the Australian Government.,https://m.media-amazon.com/images/M/MV5BNmRhYWNlYjktZTVhMi00OTViLWIxNjEtOWZiZmE5YTE0MTY2XkEyXkFqcGdeQXVyNTM4OTY2MDU@._V1_SX300.jpg,N/A,21 Sep 2014,True,54 min,The Code,series,Shelley Birse,2014–2016,tt3914672,"3,698",7.4/10,,
"Cincin Jao, Ming-Shuai Shih, Ming-shiou Tsai, Chih-Keng Chuang",5 wins & 9 nominations.,Taiwan,Sam Quah,"Short, Crime, Drama, Thriller","English, Mandarin",N/A,He is an ex-con who tries to turn over a new leaf by working at a laundry store. She is a young woman with physical disability and is taken in to help out in the store since her parents ...,https://m.media-amazon.com/images/M/MV5BODRkMDAyYTgtMTA4OC00OWJkLWI1MTAtNmY2NzVhNjJiNzk1XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,N/A,01 Oct 2014,True,30 min,The Free Man,movie,Yu Li Chen,2014,tt3725862,51,2.3/10,,
"Rolf Lassgård, Kjersti Tveterås, Aurora Lindseth-Løkka, Mathilde Thomine Storm",4 nominations.,"Norway, Germany",Vibeke Idsøe,Drama,"Norwegian, French, Swedish",N/A,"In 1912, a Norwegian woman dies in childbirth, leaving behind a daughter born with hypertrichosis, or excessive hair growth, and a grieving husband who hides the girl from gawkers.",https://m.media-amazon.com/images/M/MV5BNmVhZDY1NDUtN2UzNS00MWViLWEyZjItNmNmODBlOWNhNmYxXkEyXkFqcGdeQXVyNjUxODU0NzU@._V1_SX300.jpg,R,26 Aug 2016,True,126 min,The Lion Woman,movie,"Erik Fosnes Hansen (novel), Vibeke Idsøe",2016,tt4677578,"1,186",6.6/10,,
"Kang-ho Song, So-Ri Moon, Jae-eung Lee, Yeong-jin Jo",2 wins & 1 nomination.,South Korea,Chan-sang Lim,"Comedy, Drama",Korean,N/A,"Follows a president's barber, his wife, and their only son through four decades of tumultuous Korean history.",https://m.media-amazon.com/images/M/MV5BOGQwMDRkM2QtMGIzMC00NTJlLThjYTEtZGUwN2VmNTE0YmIyXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,R,05 May 2004,True,116 min,The President's Barber,movie,"Min-seok Jang, Chan-sang Lim",2004,tt0406853,707,6.9/10,70%,
"Rio Hiiragi, Yuzuha Oda, Masayoshi Sakai",3 nominations.,"UK, Canada, Japan",Kyoko Miyake,"Documentary, Music",Japanese,N/A,"Girl bands and their pop music permeate every moment of Japanese life. Following an aspiring pop singer and her fans, Tokyo Idols explores a cultural phenomenon driven by an obsession with ...",https://m.media-amazon.com/images/M/MV5BOGFjYzJiN2UtNjgwZi00N2E5LWE3NjItNzZkN2ZmZWQyM2RjXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,TV-14,27 Jun 2017,True,90 min,Tokyo Idols,movie,Kyoko Miyake,2017,tt6039532,967,6.8/10,91%,
"Sandra Escacena, Bruna González, Claudia Placer, Iván Chavero",5 wins & 18 nominations.,Spain,Paco Plaza,Horror,Spanish,N/A,"Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates.",https://m.media-amazon.com/images/M/MV5BMmRkMDQzYzItZDFhMS00YzM1LTk0ZGMtZmExMzdiNzEwOTE4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,TV-MA,25 Aug 2017,True,105 min,Verónica,movie,"Paco Plaza (screenplay), Fernando Navarro (screenplay), Coral Cruz (story editor)",2017,tt5862312,"34,577",6.2/10,,
"Amber An, Ke-Fang Sun, Man-Chiao Wang, Chris Chih-Cheng Lee",N/A,Taiwan,N/A,Drama,Mandarin,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTlhNzcxNzItNDZjNS00NDYyLWFkYjItOWI5ZTUwZDhlZjY0XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,N/A,14 Jul 2017,True,90 min,What She Put on the Table,series,N/A,2017,tt7073222,5,6.8/10,,
"Kimberley Louisa McBeath, Asif Basra, Kavi Shastri, Hetal Puniwala",N/A,India,Mikhil Musale,"Drama, Thriller",Gujarati,N/A,A driver named Raju embarks on an extraordinary journey of redemption by forever changing lives of 3 people due to a controversial hit and run accident.,https://m.media-amazon.com/images/M/MV5BNmQ1ZWUxOWUtMTZjYi00Mzc5LTlhZTgtYmJhYmE0ZGQ4ZWI4XkEyXkFqcGdeQXVyMzUwNzg0OQ@@._V1_SX300.jpg,N/A,16 Sep 2016,True,140 min,Wrong Side Raju,movie,"Niren Bhatt, Niren Bhatt (story), Niren Bhatt, Mikhil Musale, Karan Vyas, Karan Vyas",2016,tt5979920,530,8.0/10,,
"Theresa Poh Lin Chan, Chiew Sung Ching, Lawrence Yong, Leong Kooi Eng",12 wins & 7 nominations.,Singapore,Eric Khoo,"Drama, Romance","Cantonese, English, Hokkien, Mandarin",67,"""Be with me"" consists of three stories of love vs. solitude : 1)An aging, lonesome shopkeeper doesn't believe in life any more since his wife died. But he is saved from desperation by ...",https://m.media-amazon.com/images/M/MV5BMTgwMDgxNjk2N15BMl5BanBnXkFtZTcwNTY1NTk3OA@@._V1_SX300.jpg,Not Rated,08 Sep 2005,True,93 min,Be with Me,movie,"Theresa Poh Lin Chan (inspiration), Eric Khoo (screenplay), Kim Hoh Wong (screenplay)",2005,tt0463903,"1,600",7.0/10,90%,67/100
"Yûko Takeuchi, Shidô Nakamura, Akashi Takei, Karen Miyama",1 win & 2 nominations.,Japan,Nobuhiro Doi,"Drama, Fantasy, Romance",Japanese,N/A,"A young woman returns from the dead to her guilt-ridden husband and son, but she cannot remember them.",https://m.media-amazon.com/images/M/MV5BZTNhOWVmM2EtNGZiNC00ZTg3LTk2ODAtMDhhZmY2ZDk1NTg1XkEyXkFqcGdeQXVyMzYwMjQ3OTI@._V1_SX300.jpg,N/A,30 Oct 2004,True,119 min,Be with You,movie,"Takuji Ichikawa (novel), Yoshikazu Okada (screenplay)",2004,tt0442268,"4,288",7.9/10,92%,
"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow",Won 1 Oscar. Another 21 wins & 51 nominations.,"Canada, USA",Jay Roach,"Biography, Drama",English,64,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,https://m.media-amazon.com/images/M/MV5BZjlhOWE3YjktY2MzOC00ZmQ1LWIwNjgtZmVhZmFjZGExMzgyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,R,20 Dec 2019,True,109 min,Bombshell,movie,Charles Randolph,2019,tt6394270,"75,066",6.8/10,,64/100
